time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:14.003,0,-0.08,-0.17,-0.01,0,-0.32,0.08,-0.02
11:35:14.013,0.01,0,0.02,0,0.03,0.12,0.05,0.03
11:35:14.024,0.01,-0.03,0,0.02,0.06,0.21,0.11,0
11:35:14.034,0.01,-0.03,0,0.02,0.06,0.21,0.11,0
11:35:14.047,0,0.01,0.03,-0.01,-0.01,0.14,-0.06,0
11:35:14.060,0,0.03,0.11,0,0.01,-0.01,-0.13,0
11:35:14.071,0,0.02,0.08,-0.01,-0.08,-0.16,0.48,-0.01
11:35:14.128,0,0.04,0,0,0.02,0.24,0.06,0
11:35:14.140,0,0.01,0,0.02,-0.01,0,-0.14,-0.03
11:35:14.153,0,0.01,0,0.02,-0.01,0,-0.14,-0.03
11:35:14.165,-0.02,-0.01,-0.03,0.02,0,-0.13,-0.14,-0.03
11:35:14.176,-0.02,-0.02,-0.03,-0.08,-0.09,-0.41,-0.18,-0.05
11:35:14.221,-0.01,-0.03,-0.12,0,0.01,-0.04,0.04,0.01
11:35:14.231,-0.01,-0.03,-0.12,0,0.01,-0.04,0.04,0.01
11:35:14.241,-0.01,0,-0.05,0,0,0.07,0.14,0.02
11:35:14.253,0,0,0.01,-0.01,-0.01,0.01,-0.06,-0.03
11:35:14.263,0,0,0.01,-0.01,-0.01,0.01,-0.06,-0.03
11:35:14.273,0,0.03,0.09,-0.01,-0.04,-0.06,0.21,0.08
11:35:14.284,0,0,-0.03,0.01,0.02,0.18,-0.04,0
11:35:14.329,0,0.02,0.11,-0.01,-0.05,-0.43,-0.29,0
11:35:14.341,0,0,-0.03,0.01,0.04,0.27,0.06,0.01
11:35:14.351,0,0,-0.03,0.01,0.04,0.27,0.06,0.01
11:35:14.360,-0.02,-0.01,-0.03,-0.02,-0.03,-0.14,-0.35,-0.04
11:35:14.371,-0.02,-0.01,-0.03,-0.02,-0.03,-0.14,-0.35,-0.04
11:35:14.382,0,-0.02,-0.04,-0.01,-0.02,0.12,-0.12,0.01
11:35:14.391,0,-0.02,-0.04,-0.01,-0.02,0.12,-0.12,0.01
11:35:14.435,-0.01,-0.03,-0.16,-0.03,-0.02,-0.28,-0.14,-0.03
11:35:14.447,-0.01,0.01,0.07,-0.01,0.06,0.34,-0.13,-0.02
11:35:14.457,0,0.01,0.03,0,0,0.33,0.17,0.01
11:35:14.467,0,0.01,0.03,0,0,0.33,0.17,0.01
11:35:14.478,0.01,-0.02,-0.1,0.01,0.06,0.29,0.22,0.06
11:35:14.490,0,-0.02,-0.05,0.05,0.04,-0.01,-0.03,0
11:35:14.503,0.01,0,-0.05,0,-0.01,-0.09,0.22,0.04
11:35:14.557,0,0,-0.04,0.01,-0.02,-0.22,0,0
11:35:14.573,0.01,0,0.04,-0.01,0.02,0.04,-0.13,-0.03
11:35:14.584,-0.02,-0.01,0,0,0,-0.22,-0.06,0.02
11:35:14.594,-0.02,-0.01,0,0,0,-0.22,-0.06,0.02
11:35:14.604,-0.01,-0.01,0,-0.01,-0.04,-0.09,-0.01,-0.01
11:35:14.649,0,0,0,0,0.04,0.13,0,0.01
11:35:14.657,0,0,0,0,0.04,0.13,0,0.01
11:35:14.671,0,-0.01,-0.07,0,-0.02,0.01,-0.15,-0.05
11:35:14.681,-0.01,0.04,0.11,0,-0.04,-0.1,0.06,0.01
11:35:14.691,-0.01,0.04,0.11,0,-0.04,-0.1,0.06,0.01
11:35:14.703,0,-0.04,-0.11,-0.03,-0.03,-0.04,0.12,0
11:35:14.714,0,-0.04,-0.11,-0.03,-0.03,-0.04,0.12,0
11:35:14.755,0,0.01,0,-0.01,-0.01,0.21,0.05,0.03
11:35:14.765,0,-0.02,-0.05,0,0,0.13,0.06,0
11:35:14.775,0,-0.02,-0.05,0,0,0.13,0.06,0
11:35:14.785,0,0,0,0.02,0.04,0.01,0.12,0
11:35:14.795,0,0,0,0.02,0.04,0.01,0.12,0
11:35:14.806,-0.01,0,0.09,0,-0.01,0.04,0,0
11:35:14.820,-0.01,0,0.09,0,-0.01,0.04,0,0
11:35:14.831,-0.01,-0.01,0.03,-0.01,0,-0.06,-0.1,0.02
11:35:14.875,0,-0.01,0,-0.02,-0.01,-0.12,-0.02,0.01
11:35:14.887,-0.02,-0.02,0.1,0.02,0.02,0.21,0,-0.01
11:35:14.898,0,0.02,0.08,0,-0.02,-0.07,0,-0.04
11:35:14.908,-0.01,-0.01,-0.08,0,0,0.13,0.08,0
11:35:14.921,0,0.01,0,0,0,0.05,0.02,-0.01
11:35:14.932,0,0.01,0.01,0.02,-0.03,-0.09,-0.03,0
11:35:14.984,-0.01,0.03,0.04,0,0.01,-0.08,-0.16,-0.02
11:35:14.997,-0.01,0,-0.01,0,0.03,0.39,0.11,0.01
11:35:15.008,0,0.01,0.04,0.01,-0.05,-0.08,0,-0.03
11:35:15.019,-0.01,-0.01,-0.04,-0.02,0.02,0.11,-0.01,-0.04
11:35:15.030,-0.01,-0.01,-0.04,-0.02,0.02,0.11,-0.01,-0.04
11:35:15.041,0,0,0.01,0.02,0.02,-0.12,-0.12,-0.01
